event_type,timestamp,system_score,severity,behavioral_anomaly_flag,external_connection_flag,unknown_process_flag,sensitive_access_flag,label,process_name,parent_process,cpu_percent,memory_mb,cpu_zscore,memory_zscore,parent_child_rarity,cmd_entropy,process_freq_5min,is_known_binary,remote_ip,remote_port,is_private_ip,is_known_ip,connection_freq_1min,unique_ip_5min,port_risk,file_path,file_action,file_extension,is_sensitive_path,is_executable,file_freq_1min,file_rarity
process,2026-03-25 00:00:10,3,2,1,0,0,0,1,chrome.exe,cmd.exe,61.39,143.09,0.66,2.59,0.17,3.9,1.0,1.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:10,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,exe,1.0,0.0,9.0,0.71
file,2026-03-25 00:00:11,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,deleted,exe,1.0,0.0,16.0,0.65
process,2026-03-25 00:00:11,1,2,0,0,0,0,0,chrome.exe,cmd.exe,20.14,235.16,2.55,2.97,0.28,1.31,15.0,1.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:11,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,deleted,txt,1.0,0.0,14.0,0.44
file,2026-03-25 00:00:11,3,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,conf,0.0,1.0,12.0,0.14
file,2026-03-25 00:00:12,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,modified,exe,1.0,1.0,4.0,0.68
process,2026-03-25 00:00:12,2,0,0,0,0,0,0,python.exe,pg_ctl.exe,68.27,301.79,2.62,2.8,0.92,3.34,2.0,1.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:12,3,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,modified,txt,0.0,0.0,9.0,0.58
process,2026-03-25 00:00:12,0,1,0,0,0,0,0,postgres.exe,explorer.exe,99.13,18.59,2.74,2.31,0.11,2.04,2.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:13,2,0,0,0,0,0,0,postgres.exe,cmd.exe,20.26,176.94,1.14,0.47,0.73,1.5,15.0,1.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:13,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,exe,0.0,1.0,17.0,0.7
process,2026-03-25 00:00:13,0,0,0,0,0,0,0,postgres.exe,explorer.exe,19.21,105.64,2.04,2.18,0.62,0.79,8.0,1.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:13,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,exe,0.0,0.0,3.0,0.51
process,2026-03-25 00:00:14,1,0,0,0,0,0,0,python.exe,cmd.exe,97.08,277.54,0.71,0.35,0.47,3.78,12.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:14,0,2,0,0,0,0,0,python.exe,cmd.exe,47.4,46.47,1.75,0.57,0.76,1.31,20.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:14,4,2,0,1,1,0,1,chrome.exe,,,,,,,,,,192.168.1.1,80.0,0.0,1.0,9.0,3.0,0.97,,,,,,,
network,2026-03-25 00:00:14,0,2,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,443.0,0.0,0.0,28.0,3.0,0.67,,,,,,,
file,2026-03-25 00:00:15,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,deleted,conf,1.0,1.0,15.0,0.65
network,2026-03-25 00:00:15,1,2,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,4444.0,1.0,0.0,30.0,1.0,0.98,,,,,,,
network,2026-03-25 00:00:15,3,1,0,1,1,0,1,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,80.0,0.0,1.0,9.0,8.0,0.54,,,,,,,
network,2026-03-25 00:00:15,2,1,0,0,0,0,0,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,4444.0,1.0,0.0,15.0,8.0,0.64,,,,,,,
network,2026-03-25 00:00:16,1,1,0,0,0,0,0,chrome.exe,,,,,,,,,,8.8.8.8,443.0,1.0,1.0,4.0,5.0,0.47,,,,,,,
process,2026-03-25 00:00:16,0,0,0,0,0,0,0,postgres.exe,explorer.exe,79.88,413.61,2.82,0.7,0.49,3.62,13.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:16,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,deleted,exe,0.0,1.0,10.0,0.06
process,2026-03-25 00:00:16,2,2,0,0,0,0,0,python.exe,cmd.exe,55.04,477.65,1.24,1.14,0.86,3.69,3.0,1.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:17,3,2,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,modified,exe,1.0,1.0,9.0,0.14
file,2026-03-25 00:00:17,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,deleted,conf,0.0,1.0,1.0,0.19
file,2026-03-25 00:00:17,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,txt,0.0,1.0,14.0,0.47
process,2026-03-25 00:00:17,2,2,0,0,0,0,0,python.exe,pg_ctl.exe,1.22,276.09,1.42,1.66,0.03,2.0,19.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:18,3,2,1,0,0,0,1,postgres.exe,cmd.exe,50.68,212.19,1.34,1.31,0.27,0.9,9.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:18,2,2,0,0,0,0,0,unknown,,,,,,,,,,2a04:4e42:8e::684,443.0,1.0,1.0,1.0,5.0,0.88,,,,,,,
file,2026-03-25 00:00:18,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,deleted,exe,0.0,1.0,18.0,0.61
process,2026-03-25 00:00:18,1,2,0,0,0,0,0,postgres.exe,pg_ctl.exe,54.84,493.67,1.56,2.52,0.6,0.72,9.0,1.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:19,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,modified,txt,0.0,0.0,11.0,0.82
file,2026-03-25 00:00:19,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,modified,txt,1.0,0.0,10.0,0.2
network,2026-03-25 00:00:19,3,0,0,1,1,0,1,chrome.exe,,,,,,,,,,192.168.1.1,80.0,0.0,1.0,15.0,3.0,0.1,,,,,,,
network,2026-03-25 00:00:19,2,0,0,0,0,0,0,unknown,,,,,,,,,,2a04:4e42:8e::684,4444.0,0.0,0.0,10.0,1.0,0.92,,,,,,,
file,2026-03-25 00:00:20,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,conf,0.0,0.0,20.0,0.6
process,2026-03-25 00:00:20,0,1,0,0,0,0,0,chrome.exe,cmd.exe,34.65,361.82,1.46,2.4,0.45,1.3,17.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:20,2,1,0,0,0,0,0,chrome.exe,,,,,,,,,,192.168.1.1,8080.0,1.0,0.0,18.0,6.0,0.89,,,,,,,
network,2026-03-25 00:00:20,4,2,0,1,1,0,1,unknown,,,,,,,,,,2a04:4e42:8e::684,443.0,1.0,0.0,21.0,12.0,0.35,,,,,,,
file,2026-03-25 00:00:21,3,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,/tmp/file.txt,created,exe,0.0,1.0,2.0,0.63
file,2026-03-25 00:00:21,4,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,/etc/passwd,deleted,txt,1.0,1.0,9.0,0.76
file,2026-03-25 00:00:21,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/etc/passwd,deleted,conf,0.0,0.0,8.0,0.84
file,2026-03-25 00:00:21,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,deleted,exe,1.0,0.0,9.0,0.24
file,2026-03-25 00:00:22,4,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,/tmp/file.txt,created,conf,0.0,0.0,7.0,0.18
network,2026-03-25 00:00:22,3,0,0,1,1,0,1,unknown,,,,,,,,,,192.168.1.1,4444.0,0.0,0.0,30.0,15.0,0.31,,,,,,,
network,2026-03-25 00:00:22,0,2,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,4444.0,1.0,0.0,27.0,14.0,0.07,,,,,,,
process,2026-03-25 00:00:22,0,1,0,0,0,0,0,postgres.exe,pg_ctl.exe,54.54,217.11,1.67,1.17,0.03,0.07,14.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:23,1,1,0,0,0,0,0,chrome.exe,pg_ctl.exe,79.29,28.74,2.27,0.64,0.69,0.97,1.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:23,2,1,0,0,0,0,0,chrome.exe,,,,,,,,,,192.168.1.1,4444.0,1.0,1.0,8.0,12.0,0.2,,,,,,,
process,2026-03-25 00:00:23,1,2,0,0,0,0,0,python.exe,pg_ctl.exe,30.84,207.04,1.53,2.47,0.39,4.99,10.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:23,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,exe,1.0,0.0,13.0,0.15
process,2026-03-25 00:00:24,2,1,0,0,0,0,0,python.exe,explorer.exe,14.35,320.0,1.36,1.7,0.85,0.53,8.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:24,3,0,1,0,0,0,1,postgres.exe,cmd.exe,84.81,19.42,2.24,1.84,0.12,2.79,8.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:24,3,2,0,1,1,0,1,unknown,,,,,,,,,,2a04:4e42:8e::684,8080.0,1.0,1.0,2.0,10.0,0.64,,,,,,,
file,2026-03-25 00:00:24,3,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,conf,0.0,1.0,16.0,0.59
process,2026-03-25 00:00:25,4,0,1,0,0,0,1,postgres.exe,cmd.exe,88.81,310.78,2.3,2.53,0.1,0.26,5.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:25,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,exe,1.0,0.0,7.0,0.41
file,2026-03-25 00:00:25,3,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,deleted,conf,0.0,0.0,6.0,0.59
process,2026-03-25 00:00:25,4,1,1,0,0,0,1,python.exe,explorer.exe,43.38,172.34,0.33,0.24,0.29,4.69,7.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:26,0,1,0,0,0,0,0,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,443.0,1.0,1.0,27.0,1.0,0.77,,,,,,,
file,2026-03-25 00:00:26,3,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,modified,txt,1.0,0.0,1.0,0.75
process,2026-03-25 00:00:26,0,0,0,0,0,0,0,postgres.exe,pg_ctl.exe,27.02,68.53,2.67,2.27,0.17,4.93,9.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:26,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,conf,1.0,1.0,14.0,0.96
process,2026-03-25 00:00:27,0,0,0,0,0,0,0,postgres.exe,pg_ctl.exe,30.08,386.31,1.24,0.34,0.12,1.94,3.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:27,1,2,0,0,0,0,0,chrome.exe,pg_ctl.exe,44.87,115.14,2.49,2.87,0.27,4.89,3.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:27,2,2,0,0,0,0,0,python.exe,cmd.exe,7.92,57.66,1.24,0.29,0.95,0.64,14.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:27,4,2,0,1,1,0,1,chrome.exe,,,,,,,,,,192.168.1.1,8080.0,1.0,0.0,10.0,11.0,0.5,,,,,,,
file,2026-03-25 00:00:28,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,conf,0.0,0.0,20.0,0.88
file,2026-03-25 00:00:28,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,txt,0.0,0.0,3.0,0.87
file,2026-03-25 00:00:28,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,deleted,txt,0.0,1.0,7.0,0.8
process,2026-03-25 00:00:28,2,0,0,0,0,0,0,postgres.exe,cmd.exe,38.1,467.11,2.32,2.04,0.65,2.59,7.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:29,3,0,1,0,0,0,1,python.exe,pg_ctl.exe,17.98,360.43,0.03,1.5,0.77,0.78,15.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:29,0,2,0,0,0,0,0,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,8080.0,0.0,0.0,30.0,6.0,0.48,,,,,,,
process,2026-03-25 00:00:29,3,2,1,0,0,0,1,chrome.exe,cmd.exe,18.64,64.32,0.11,2.93,0.35,4.31,7.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:29,4,0,1,0,0,0,1,chrome.exe,cmd.exe,65.08,455.55,1.96,0.15,0.79,0.85,14.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:30,0,0,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,80.0,1.0,0.0,9.0,8.0,0.13,,,,,,,
process,2026-03-25 00:00:30,4,2,1,0,0,0,1,python.exe,pg_ctl.exe,99.13,59.01,1.21,0.05,0.12,2.21,15.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:30,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,conf,1.0,1.0,6.0,0.68
file,2026-03-25 00:00:30,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,deleted,txt,0.0,1.0,6.0,0.25
process,2026-03-25 00:00:31,2,1,0,0,0,0,0,python.exe,explorer.exe,70.82,331.3,1.3,2.79,0.31,0.56,4.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:31,2,2,0,0,0,0,0,unknown,,,,,,,,,,8.8.8.8,80.0,1.0,0.0,11.0,3.0,0.16,,,,,,,
network,2026-03-25 00:00:31,3,0,0,1,1,0,1,unknown,,,,,,,,,,2a04:4e42:8e::684,443.0,0.0,0.0,4.0,7.0,0.59,,,,,,,
process,2026-03-25 00:00:31,0,2,0,0,0,0,0,chrome.exe,explorer.exe,90.59,350.43,0.49,2.98,0.74,3.94,13.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:32,1,2,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,8080.0,1.0,0.0,23.0,9.0,0.6,,,,,,,
file,2026-03-25 00:00:32,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,created,exe,1.0,0.0,14.0,0.54
process,2026-03-25 00:00:32,2,0,0,0,0,0,0,python.exe,explorer.exe,85.76,444.47,2.86,1.53,0.65,3.23,7.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:32,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,created,txt,1.0,1.0,15.0,0.83
file,2026-03-25 00:00:33,4,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,exe,0.0,0.0,15.0,0.43
network,2026-03-25 00:00:33,0,1,0,0,0,0,0,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,8080.0,1.0,0.0,25.0,6.0,0.02,,,,,,,
network,2026-03-25 00:00:33,0,2,0,0,0,0,0,unknown,,,,,,,,,,8.8.8.8,443.0,0.0,0.0,14.0,3.0,0.39,,,,,,,
network,2026-03-25 00:00:33,4,0,0,1,1,0,1,unknown,,,,,,,,,,2a04:4e42:8e::684,80.0,0.0,0.0,5.0,4.0,0.01,,,,,,,
process,2026-03-25 00:00:34,0,2,0,0,0,0,0,python.exe,cmd.exe,93.32,438.62,0.98,2.69,0.44,2.24,4.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:34,0,0,0,0,0,0,0,postgres.exe,cmd.exe,47.47,31.11,2.73,0.77,0.84,1.32,11.0,0.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:34,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,exe,0.0,1.0,6.0,0.9
process,2026-03-25 00:00:34,4,2,1,0,0,0,1,postgres.exe,explorer.exe,29.25,199.6,2.88,2.41,0.42,2.2,2.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:35,2,0,0,0,0,0,0,unknown,,,,,,,,,,2a04:4e42:8e::684,8080.0,1.0,1.0,3.0,2.0,0.2,,,,,,,
network,2026-03-25 00:00:35,3,1,0,1,1,0,1,unknown,,,,,,,,,,2a04:4e42:8e::684,80.0,0.0,0.0,3.0,4.0,0.84,,,,,,,
file,2026-03-25 00:00:35,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,created,txt,0.0,0.0,19.0,0.53
process,2026-03-25 00:00:35,3,2,1,0,0,0,1,postgres.exe,cmd.exe,35.68,181.14,2.83,2.9,0.38,3.33,9.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:36,0,2,0,0,0,0,0,postgres.exe,cmd.exe,58.35,476.91,2.39,2.23,0.31,4.64,14.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:36,2,0,0,0,0,0,0,chrome.exe,pg_ctl.exe,45.88,429.15,2.3,1.37,0.21,3.05,16.0,1.0,,,,,,,,,,,,,,
file,2026-03-25 00:00:36,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,/tmp/file.txt,modified,exe,1.0,1.0,8.0,0.92
network,2026-03-25 00:00:36,3,0,0,1,1,0,1,unknown,,,,,,,,,,192.168.1.1,80.0,1.0,1.0,30.0,5.0,0.49,,,,,,,
process,2026-03-25 00:00:37,1,1,0,0,0,0,0,python.exe,explorer.exe,48.6,440.85,1.83,0.2,0.36,3.81,4.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:37,3,0,0,1,1,0,1,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,4444.0,1.0,0.0,29.0,8.0,0.11,,,,,,,
network,2026-03-25 00:00:37,0,1,0,0,0,0,0,unknown,,,,,,,,,,192.168.1.1,443.0,0.0,0.0,5.0,2.0,0.7,,,,,,,
process,2026-03-25 00:00:37,1,0,0,0,0,0,0,python.exe,pg_ctl.exe,26.88,224.71,1.56,2.48,0.52,4.09,16.0,1.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:38,2,0,0,0,0,0,0,python.exe,cmd.exe,84.19,446.19,1.29,0.13,0.26,3.64,17.0,0.0,,,,,,,,,,,,,,
process,2026-03-25 00:00:38,3,2,1,0,0,0,1,python.exe,cmd.exe,4.96,76.36,0.04,0.04,0.88,3.22,3.0,0.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:38,3,2,0,1,1,0,1,chrome.exe,,,,,,,,,,2a04:4e42:8e::684,4444.0,0.0,1.0,10.0,13.0,0.04,,,,,,,
file,2026-03-25 00:00:38,4,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,modified,conf,1.0,1.0,19.0,0.82
process,2026-03-25 00:00:39,3,1,1,0,0,0,1,postgres.exe,pg_ctl.exe,79.41,252.81,1.33,0.56,0.86,3.5,1.0,1.0,,,,,,,,,,,,,,
network,2026-03-25 00:00:39,0,0,0,0,0,0,0,unknown,,,,,,,,,,2a04:4e42:8e::684,4444.0,1.0,1.0,18.0,11.0,0.46,,,,,,,
file,2026-03-25 00:00:39,3,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,E:\agentic_ai\defense system\password.txt,modified,conf,0.0,1.0,14.0,0.26
